original,v2,v3,v4,v5,v6
-0.393238903,0.118598281,0.52708222,0.69651176,0.607974117,-0.288555257
-1.257773354,-0.394534134,0.11849656,0.525559202,0.693741206,0.607498941
0.708805013,-1.259257279,-0.394611013,0.117172534,0.522207027,0.693291365
0.756306906,0.707750314,-1.259292295,-0.395685142,0.112430932,0.521706518
0.651802742,0.755262575,0.70762007,-1.2599453,-0.402171605,0.111809385
0.214785327,0.650735601,0.755130031,0.706009124,-1.269372178,-0.402945155
0.746806528,0.213622803,0.650608118,0.753495946,0.703270883,-1.270401879
-0.326736253,0.745760123,0.213516481,0.649024938,0.750919266,0.702823856
-1.514283576,-0.328016969,0.745628039,0.212146177,0.646092823,0.750486314
0.908312964,-1.515823487,-0.328097069,0.743998582,0.207727699,0.645628907
0.756306906,0.907301809,-1.515846081,-0.329203592,0.741389589,0.2071343
1.155322807,0.755262575,0.907161904,-1.516374137,-0.335463869,0.740953822
1.060319021,1.154365565,0.755130031,0.905453776,-1.526673447,-0.336217714
1.193324322,1.059341043,1.154213699,0.753495946,0.903394092,-1.527779149
0.46179517,1.192375373,1.059193778,1.15238525,0.750919266,0.903006177
-1.314775626,0.460686559,1.192221668,1.057411606,1.151165684,0.750486314
1.829849687,-1.316271992,0.460568276,1.190374707,1.055868918,1.150850955
1.459334922,1.829039667,-1.316304247,0.459077651,1.189284391,1.055526041
1.13632205,1.458444033,1.828855138,-1.316929486,0.455499291,1.188980921
1.478335679,1.135360661,1.458277446,1.82669812,-1.326550238,0.454979078
1.392832272,1.477448938,1.135209715,1.456300909,1.827772724,-1.327596828
0.12928192,1.391926868,1.477281431,1.133390521,1.456115336,1.82765785
-1.409779412,0.128100734,1.391763502,1.475295638,1.132106331,1.455890683
1.345330379,-1.411296513,0.127998552,1.389819359,1.475174689,1.131785972
1.573339465,1.344414608,-1.411324168,0.126669898,1.3894076,1.474955666
0.946314478,1.572473459,1.344253541,-1.411903129,0.121960609,1.389163242
1.079319778,0.945311618,1.572301352,1.342332537,-1.421847004,0.121341876
1.383331893,1.078345948,0.945169873,1.570269282,1.341759217,-1.422921742
-0.041724895,1.382424416,1.078197762,0.943443234,1.570471456,1.341500785
-1.647288877,-0.042943405,1.38226151,1.076406335,0.941512798,1.57028058
1.345330379,-1.648857817,-0.043037306,1.380321995,1.074928271,0.941136143
1.544838329,1.344414608,-1.648873971,-0.044282661,1.379877923,1.074591024
1.668343251,1.543966103,1.344253541,-1.649337239,-0.04957357,1.379630751
1.801348551,1.667497981,1.543795375,1.342332537,-1.66008892,-0.05024297
1.478335679,1.800532311,1.667321273,1.541777189,1.341759217,-1.661234029
0.338290249,1.477448938,1.800349162,1.665242926,1.541882426,1.341500785
-1.580786226,0.337154681,1.477281431,1.798206027,1.665768222,1.541683106
1.791848173,-1.582340652,0.337042378,1.475295638,1.799183695,1.665605495
2.181363695,1.791029858,-1.582360026,0.335611914,1.475174689,1.799060376
1.554338708,2.180630396,1.79084717,-1.582855688,0.331613495,1.474955666
1.278827729,1.553468555,2.180428846,1.788708662,-1.593381183,0.331056689
1.468835301,1.277897443,1.553297367,2.178100601,1.789654018,-1.594506589
0.091280405,1.467946486,1.277739596,1.551274553,2.180370759,1.789527884
-1.485782441,0.090090925,1.467779438,1.275850986,1.551412102,2.180360035
1.316829243,-1.48731613,0.089990584,1.465798274,1.27505148,1.551215597
1.715845144,1.315907251,-1.487340105,0.088680441,1.465645013,1.274773345
